property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
510 Hall St,Capitol Distributors,C,Existing,226860,,$10.52 - 12.86 (Est.),Warehouse,Bow,100.0,1963.0,1999.0,226860.0,0.44,"19'0""",,9.0,,,,2025 Tax @ $0.1729/sf,,,0,3,,,100.0,43.177504,-71.5267,NH,NH.csv,13,T4-NH-00013,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Capitol Distributors,False,33013,Merrimack,NH,10,5010.979556949096,NH
1070 Holt Ave,,A,Existing,235000,,$10.67 - 13.04 (Est.),Warehouse,Manchester,100.0,2006.0,,235000.0,,"33'0""",,20.0,,,,,,,0,5,Yes,,,42.9792615,-71.4018547,NH,NH.csv,14,T4-NH-00014,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1070 Holt Ave, Manchester, NH",False,33011,Hillsborough,NH,17,11546.730449799436,NH
2 Howe Dr,,A,Existing,256208,,$9.12 - 11.14 (Est.),Warehouse,Amherst,100.0,2021.0,,232318.0,0.9,"36'0""",54'w x 50'd,56.0,2000a/480v 3p 4w,,Yes,2025 Tax @ $1.1791/sf,,,0,Yes,ESFR,Yes,210.0,42.8044184,-71.5707302,NH,NH.csv,15,T4-NH-00015,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2 Howe Dr, Amherst, NH",False,33011,Hillsborough,NH,17,11546.730449799436,NH
44 Industrial Dr,,B,Existing,302000,,$10.87 - 13.29 (Est.),Distribution,Londonderry,100.0,2015.0,,300000.0,,,,100.0,,,,2025 Tax @ $1.7792/sf,,,0,,Yes,,,42.9116114,-71.4330595,NH,NH.csv,16,T4-NH-00016,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"44 Industrial Dr, Londonderry, NH",False,33015,Rockingham,NH,17,10317.887470001006,NH
115 Industrial Park Dr,,B,Existing,250000,,$7.57 - 9.26 (Est.),Warehouse,Dover,100.0,1970.0,,250000.0,,"22'0""",40'w x 40'd,6.0,800a/480v,,Yes,2024 Tax @ $0.2701/sf,,,0,"2/9'0""w x 10'0""h",Wet,Yes,,43.1862041,-70.9026901,NH,NH.csv,17,T4-NH-00017,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"115 Industrial Park Dr, Dover, NH",False,33017,Strafford,NH,17,3439.596910677753,NH
150 Ocean Rd,,B,Existing,367166,,$11.27 - 13.77 (Est.),Distribution,Greenland,100.0,1980.0,1995.0,367166.0,0.89,"28'0""",,42.0,,,,2024 Tax @ $0.9594/sf,,,0,,Wet,,330.0,43.0390352,-70.8166236,NH,NH.csv,18,T4-NH-00018,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"150 Ocean Rd, Greenland, NH",False,33015,Rockingham,NH,17,10317.887470001006,NH
67 Primrose Dr,,B,Existing,200000,,$9.46 - 11.56 (Est.),Warehouse,Laconia,100.0,1980.0,,200000.0,,,,,,,,2025 Tax @ $0.4354/sf,,,0,,,,,43.5447415,-71.4927641,NH,NH.csv,19,T4-NH-00019,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"67 Primrose Dr, Laconia, NH",False,33001,Belknap,NH,10,1924.862544029492,NH
11 Ricker Ave,,A,Existing,305774,,$11.30 - 13.82 (Est.),Warehouse,Londonderry,100.0,1970.0,2022.0,305774.0,0.93,"30'0""",,24.0,,,,2025 Tax @ $1.1718/sf,,,0,4,Wet,,285.0,42.9253829,-71.4256353,NH,NH.csv,20,T4-NH-00020,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"11 Ricker Ave, Londonderry, NH",False,33015,Rockingham,NH,17,10317.887470001006,NH
272 River Rd,,B,Existing,249000,,$6.32 - 7.72 (Est.),Warehouse,Claremont,100.0,1963.0,1973.0,124500.0,0.85,"16'3""",20'w x 40'd,14.0,2500a/277-480v 3p 4w,,City,2025 Tax @ $0.1916/sf,,,0,3,Wet,City,205.0,43.364628,-72.383228,NH,NH.csv,21,T4-NH-00021,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"272 River Rd, Claremont, NH",False,33019,Sullivan,NH,10,2543.174847364493,NH
1403 Route 3A,,B,Existing,243584,,$8.24 - 9.78 (Est.),Warehouse,Bow,100.0,2013.0,,243584.0,0.2,"40'0""",,26.0,,,,2025 Tax @ $2.6724/sf,,,0,"4/8'0""w x 10'0""h",Yes,,50.0,43.130996,-71.482167,NH,NH.csv,22,T4-NH-00022,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1403 Route 3A, Bow, NH",False,33013,Merrimack,NH,10,5010.979556949096,NH
7 Symmes Dr,,B,Existing,487970,,$11.02 - 13.47 (Est.),Distribution,Londonderry,100.0,1988.0,,487970.0,0.35,,,110.0,,,,,,,0,,,,173.0,42.9225394,-71.3817001,NH,NH.csv,23,T4-NH-00023,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"7 Symmes Dr, Londonderry, NH",False,33015,Rockingham,NH,17,10317.887470001006,NH
7 Technology Dr,,C,Existing,410000,,$8.85 - 10.81 (Est.),Warehouse,Bedford,50.0,1994.0,,205000.0,0.47,"35'0""",50'w x 60'd,11.0,,,,2024 Tax @ $0.6374/sf,,,205000,"3/16'0""w x 20'0""h",Wet,,126.0,42.9274831,-71.4590577,NH,NH.csv,24,T4-NH-00024,existing,True,False,direct_existing_facility,205000.0,True,True,True,True,"7 Technology Dr, Bedford, NH",True,33011,Hillsborough,NH,17,11546.730449799436,NH
99 Ceda Rd,,C,Existing,336199,,$8.14 - 9.94 (Est.),Warehouse,Charlestown,100.0,1986.0,,336199.0,,"18'0""",,,,,,2025 Tax @ $0.9321/sf,,,0,,,,,43.2665184,-72.4026303,NH,NH.csv,25,T4-NH-00025,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"99 Ceda Rd, Charlestown, NH",False,33019,Sullivan,NH,10,2543.174847364493,NH
11 Cooperative Way,,B,Existing,438133,,$7.05 - 8.62 (Est.),Distribution,Pembroke,100.0,2005.0,,438133.0,,,,54.0,,,,2024 Tax @ $1.4481/sf,,,0,,,,,43.1712134,-71.4852589,NH,NH.csv,26,T4-NH-00026,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"11 Cooperative Way, Pembroke, NH",False,33013,Merrimack,NH,10,5010.979556949096,NH
932 Maple St,,C,Existing,298175,,$10.32 - 12.61 (Est.),Distribution,Hopkinton,100.0,1975.0,,298175.0,,,,,,,,2025 Tax @ $1.9342/sf,,,0,,,,,43.2012953,-71.7133031,NH,NH.csv,27,T4-NH-00027,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"932 Maple St, Hopkinton, NH",False,33013,Merrimack,NH,10,5010.979556949096,NH
71 Stow Dr,,A,Existing,319181,,$7.95 - 9.72 (Est.),Distribution,Chesterfield,100.0,2002.0,,319181.0,,,,,,,,2025 Tax @ $0.6709/sf,,,0,,,,235.0,42.8912404,-72.4899266,NH,NH.csv,28,T4-NH-00028,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"71 Stow Dr, Chesterfield, NH",False,33005,Cheshire,NH,10,3509.183712171259,NH
