property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
120 W 19th St,,C,Existing,116304,,$7.41 - 9.05 (Est.),Warehouse,Nitro,100.0,,,62777.0,0.34,,,10.0,,,,2024 Tax @ $0.1579/sf,,,0,,,,40.0,38.422899,-81.843888,WV,WV.csv,13,T4-WV-00013,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"120 W 19th St, Nitro, WV",False,54039,Kanawha,WV,28,7046.560946958108,WV
325 W 19th St,,C,Existing,137074,,$7.69 - 9.40 (Est.),Distribution,Nitro,100.0,,,137074.0,0.29,,,8.0,,,,2025 Tax @ $0.3701/sf,,,0,"1/10'0""w x 12'0""h",,,40.0,38.4301777,-81.8457589,WV,WV.csv,14,T4-WV-00014,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"325 W 19th St, Nitro, WV",False,54079,Putnam,WV,42,2453.276989922623,WV
9 27th St,Liggett & Myers Tobacco Co.,C,Existing,294716,,$6.38 - 7.80 (Est.),Warehouse,Huntington,100.0,1917.0,,79539.0,,,,2.0,,,,2025 Tax @ $0.1076/sf,,,0,2,,,30.0,38.4340216,-82.4090101,WV,WV.csv,15,T4-WV-00015,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Liggett & Myers Tobacco Co.,False,54011,Cabell,WV,42,4583.847771868937,WV
550 27th St,,B,Existing,365800,,$3.26 - 3.99 (Est.),Warehouse,Huntington,100.0,1959.0,,365800.0,0.39,"16'8""",,22.0,3p,,City,2025 Tax @ $0.2297/sf,,,0,3,Wet,City,30.0,38.4252197,-82.4034923,WV,WV.csv,16,T4-WV-00016,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"550 27th St, Huntington, WV",False,54011,Cabell,WV,42,4583.847771868937,WV
213 60th St,,C,Existing,148284,,$10.73 - 13.12 (Est.),Warehouse,Vienna,100.0,1945.0,,148284.0,0.13,,,,,,,2025 Tax @ $0.0328/sf,,,0,"1/10'0""w x 12'0""h",,,20.0,39.3483829,-81.5383387,WV,WV.csv,17,T4-WV-00017,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"213 60th St, Vienna, WV",False,54107,Wood,WV,42,3676.469095439795,WV
180 Airport Industrial Park,,A,Existing,125500,,$10.54 - 12.89 (Est.),Warehouse,Parkersburg,100.0,1975.0,,123000.0,,"21'0""",25'w x 50'd,22.0,240-480v 3p,,City,,,,0,"4/10'0""w x 12'0""h",Yes,City,,39.3411762,-81.446657,WV,WV.csv,18,T4-WV-00018,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"180 Airport Industrial Park, Parkersburg, WV",False,54107,Wood,WV,42,3676.469095439795,WV
761 Armory Rd,,B,Existing,104000,,$6.06 - 7.40 (Est.),Warehouse,Clarksburg,100.0,1962.0,,104000.0,0.09,"22'0""",25'w x 52'd,23.0,1p,,,,,,0,1,Dry,,10.0,39.2620419,-80.3630369,WV,WV.csv,19,T4-WV-00019,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"761 Armory Rd, Clarksburg, WV",False,54033,Harrison,WV,34,2772.9493394603523,WV
2100 Beech St,REO Logistics Building 9,C,Existing,170540,,$5.62 - 6.86 (Est.),Warehouse,Kenova,100.0,1968.0,,170540.0,0.17,"19'6""",30'w x 32'd,6.0,220-240v 3p,Norfolk Southern,Yes,2025 Tax @ $0.1312/sf,,,0,2,Wet,Yes,30.0,38.4073627,-82.5866404,WV,WV.csv,20,T4-WV-00020,existing,True,False,direct_existing_facility,0.0,False,False,True,True,REO Logistics Building 9,False,54099,Wayne,WV,42,1490.755035476767,WV
1422-1430 Bigley Ave,Rex Building,B,Existing,140945,21488.0,$7.23 - 8.84 (Est.),Warehouse,Charleston,84.75,1962.0,,140945.0,0.27,"19'0""",26'w x 48'd,31.0,3p,,Yes,2024 Tax @ $0.4567/sf,,21488.0,21488,"4/10'0""w x 12'0""h",Dry,Yes,40.0,38.3601238,-81.6240773,WV,WV.csv,21,T4-WV-00021,existing,True,False,direct_existing_facility,21488.0,True,True,True,True,Rex Building,True,54039,Kanawha,WV,28,7046.560946958108,WV
2898 Birch Dr,,C,Existing,120000,,$4.98 - 6.08 (Est.),Warehouse,Weirton,100.0,1978.0,,120000.0,,"16'0""",50'w,5.0,277-480v 3p,,City,2025 Tax @ $0.2784/sf,,,0,"1/14'0""w x 14'0""h",Wet,City,,40.3880238,-80.6163675,WV,WV.csv,22,T4-WV-00022,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2898 Birch Dr, Weirton, WV",False,54009,Brooke,WV,42,1025.2713473277154,WV
