property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
5 Bradley Dr,,B,Existing,126072,,$8.13 - 9.94 (Est.),Warehouse,Westbrook,100.0,1998.0,,126072.0,1.19,"31'0""",45'w x 55'd,15.0,3000a/600v 1p,,,,,,0,"1/8'0""w x 12'0""h",Wet,,170.0,43.6615161,-70.3652036,ME,ME.csv,13,T4-ME-00013,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"5 Bradley Dr, Westbrook, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
35 Canal St,,B,Existing,385000,,$5.57 - 6.81 (Est.),Warehouse,Lewiston,100.0,1912.0,,192500.0,,,,2.0,,,,2024 Tax @ $0.0134/sf,,,0,,,,200.0,44.096724,-70.2193,ME,ME.csv,14,T4-ME-00014,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"35 Canal St, Lewiston, ME",False,23001,Androscoggin,ME,5,8650.988424634748,ME
241 College Ave,,B,Existing,426103,,$5.27 - 6.44 (Est.),Warehouse,Waterville,100.0,1916.0,,426103.0,0.18,,,9.0,,,,2025 Tax @ $0.1951/sf,,,0,,,,75.0,44.5766341,-69.6102603,ME,ME.csv,15,T4-ME-00015,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"241 College Ave, Waterville, ME",False,23011,Kennebec,ME,43,7315.4650435596595,ME
1 Cressey Rd,,C,Existing,186949,,$9.65 - 11.79 (Est.),Warehouse,Brunswick,100.0,1986.0,,186949.0,1.15,,,4.0,,,,2024 Tax @ $0.5321/sf,,,0,"1/8'0""w x 10'0""h",,,213.0,43.91774,-69.960083,ME,ME.csv,16,T4-ME-00016,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1 Cressey Rd, Brunswick, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
20 Dalton Rd,,B,Existing,231884,,$6.04 - 7.38 (Est.),Warehouse,Augusta,100.0,1975.0,,115942.0,0.22,,,28.0,,,,2025 Tax @ $1.6656/sf,,,0,,,,50.0,44.36368,-69.74207,ME,ME.csv,17,T4-ME-00017,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"20 Dalton Rd, Augusta, ME",False,23011,Kennebec,ME,43,7315.4650435596595,ME
33 Elm St,,C,Existing,146000,,$4.39 - 5.37 (Est.),Warehouse,Mechanic Falls,100.0,1890.0,,146000.0,,"20'0""",,5.0,Heavy,,,2025 Tax @ $0.0589/sf,,,0,"3/12'0""w x 12'0""h",,,75.0,44.11205,-70.389686,ME,ME.csv,18,T4-ME-00018,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"33 Elm St, Mechanic Falls, ME",False,23001,Androscoggin,ME,5,8650.988424634748,ME
39 Hildreth St N,Marden's,C,Existing,104230,,$4.91 - 6.01 (Est.),Warehouse,Bangor,100.0,1956.0,2006.0,104230.0,0.96,"21'0""",,24.0,600a,,,2024 Tax @ $0.9041/sf,,,0,"1/8'0""w x 10'0""h",Wet,,100.0,44.7970297,-68.8361463,ME,ME.csv,19,T4-ME-00019,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Marden's,False,23019,Penobscot,ME,43,11400.902411905665,ME
34 Hutcherson Dr,,B,Existing,106640,,$8.98 - 9.54 (Est.),Warehouse,Gorham,100.0,1999.0,,106640.0,0.56,"36'0""",,10.0,277-480v 3p,,Yes,,,,0,"1/12'0""w x 14'0""h",Wet,Yes,60.0,43.6809264,-70.3957973,ME,ME.csv,20,T4-ME-00020,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"34 Hutcherson Dr, Gorham, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
55 Hutcherson Dr,,C,Existing,114232,,$8.72 - 9.28 (Est.),Warehouse,Gorham,100.0,1988.0,,114232.0,,"18'0""",,5.0,,,,2025 Tax @ $0.8199/sf,,,0,,Yes,,50.0,43.6835233,-70.3949533,ME,ME.csv,21,T4-ME-00021,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"55 Hutcherson Dr, Gorham, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
125 Industrial Way,,B,Existing,100600,,$9.33 - 11.40 (Est.),Distribution,Portland,100.0,1988.0,2008.0,100600.0,0.0,"28'0""",,8.0,1200a/277-420v 3p,,City,,,,0,,Wet,City,,43.7038938,-70.3151925,ME,ME.csv,22,T4-ME-00022,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"125 Industrial Way, Portland, ME",False,23005,Cumberland,ME,5,23357.347649143943,ME
