property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
150 Charles Colton Rd,,B,Existing,200000,,$10.71 - 13.09 (Est.),Warehouse,Taunton,100.0,2016.0,,200000.0,1.25,"30'0""",47'w x 60'd,48.0,4000a/277-480v 3p 4w,,City,2025 Tax @ $2.2075/sf,,,0,"1/12'0""w x 12'0""h",ESFR,City,268.0,41.9463176,-71.1219013,MA,MA.csv,48,T4-MA-00048,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"150 Charles Colton Rd, Taunton, MA",False,25005,Bristol,MA,33,14111.7303778516,MA
330 Chestnut St,,C,Existing,480548,,$3.16 - 3.54 (Est.),Warehouse,East Longmeadow,100.0,1940.0,,480548.0,,"40'0""",40'w x 40'd,27.0,4800a 3p,,Yes,2025 Tax @ $0.0546/sf,,,0,1,Yes,Yes,,42.0516883,-72.5231116,MA,MA.csv,49,T4-MA-00049,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"330 Chestnut St, East Longmeadow, MA",False,25013,Hampden,MA,39,15018.342585545664,MA
134 Chestnut Hill Ave,L.P. Athol Corporation,C,Existing,360000,,$9.82 - 12.00 (Est.),Warehouse,Athol,100.0,1899.0,2020.0,120000.0,0.83,"14'0""",,7.0,13800a/600v 3p,Boston & Maine Railroad,City,2025 Tax @ $0.0038/sf,,,0,"2/12'0""w x 14'0""h",Dry,City,300.0,42.5969337,-72.2218398,MA,MA.csv,50,T4-MA-00050,existing,True,False,direct_existing_facility,0.0,False,False,True,True,L.P. Athol Corporation,False,25027,Worcester,MA,16,20016.15286549168,MA
500 Commander Shea Blvd,Boston Scientific,B,Existing,378000,,$13.01 - 15.91 (Est.),Warehouse,Quincy,100.0,1970.0,,443199.0,,,,,,,,2025 Tax @ $3.6508/sf,,,0,,,,,42.2951946,-71.0330112,MA,MA.csv,51,T4-MA-00051,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Boston Scientific,False,25021,Norfolk,MA,26,17207.645056127454,MA
90 Commerce Way,Cartier Rice Dowd Bldg,C,Existing,273332,,$13.71 - 16.76 (Est.),Warehouse,Woburn,100.0,1974.0,,136666.0,1.1,"28'0""",25'w x 30'd,14.0,,,,,,,0,,Wet,,65.0,42.513938,-71.136272,MA,MA.csv,52,T4-MA-00052,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Cartier Rice Dowd Bldg,False,25017,Middlesex,MA,16,37219.47229475793,MA
20 Computer Dr,,B,Existing,204000,92203.0,$11.32 - 13.84 (Est.),Distribution,Haverhill,100.0,1989.0,2019.0,204000.0,0.69,"33'0""",37'w x 40'd,26.0,2000a/208-480v,,City,2025 Tax @ $1.2414/sf,,92203.0,0,"1/12'0""w x 12'0""h",Wet,City,141.0,42.785991,-71.120837,MA,MA.csv,53,T4-MA-00053,existing,True,False,direct_existing_facility,92203.0,True,True,True,True,"20 Computer Dr, Haverhill, MA",True,25009,Essex,MA,17,17316.30068456367,MA
135 Constitution Blvd,,B,Existing,227000,377000.0,$11.99 - 14.65 (Est.),Warehouse,Franklin,100.0,1987.0,,113500.0,0.79,"30'0""",,34.0,,,City,2025 Tax @ $0.8753/sf,,227000.0,0,1,Yes,City,179.0,42.0542767,-71.3951992,MA,MA.csv,54,T4-MA-00054,existing,True,False,direct_existing_facility,377000.0,True,True,True,True,"135 Constitution Blvd, Franklin, MA",True,25021,Norfolk,MA,26,17207.645056127454,MA
300 Constitution Dr,,A,Existing,328104,84672.0,$10.71 - 13.09 (Est.),Distribution,Taunton,100.0,1998.0,,164052.0,2.03,"35'6""",42'w x 42'd,30.0,5000a 3p,,City,,,0.0,0,"1/10'0""w x 14'0""h",Wet,City,707.0,41.9445861,-71.1262041,MA,MA.csv,55,T4-MA-00055,existing,True,False,direct_existing_facility,84672.0,True,True,True,True,"300 Constitution Dr, Taunton, MA",True,25005,Bristol,MA,33,14111.7303778516,MA
25 Copeland Dr,,B,Existing,343400,,$10.60 - 12.96 (Est.),Warehouse,Ayer,100.0,1984.0,,343400.0,0.19,,,13.0,,,,2025 Tax @ $1.3934/sf,,,0,"3/8'0""w x 12'0""h",,,66.0,42.555115,-71.564647,MA,MA.csv,56,T4-MA-00056,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"25 Copeland Dr, Ayer, MA",False,25017,Middlesex,MA,16,37219.47229475793,MA
1133 County St,,B,Existing,351320,,$8.83 - 10.80 (Est.),Warehouse,Taunton,100.0,1970.0,,351320.0,0.35,"24'0""",30'w x 40'd,19.0,Heavy,,,2025 Tax @ $1.3146/sf,,,0,"2/8'0""w x 11'0""h",Wet,,124.0,41.8721007,-71.0613015,MA,MA.csv,57,T4-MA-00057,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1133 County St, Taunton, MA",False,25005,Bristol,MA,33,14111.7303778516,MA
