property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
110 Pitney Rd,Playskool Facility,C,Existing,468801,,$7.34 - 8.97 (Est.),Warehouse,Lancaster,100.0,1956.0,,468801.0,1.06,"18'0""",,12.0,3p,,,2024 Tax @ $0.5363/sf,,,0,1,Yes,,,40.0462568,-76.271234,PA,PA.csv,190,T4-PA-00190,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Playskool Facility,False,42071,Lancaster,PA,30,34402.025273802414,PA
348-350 Poplar St,,C,Existing,413745,,$6.44 - 7.87 (Est.),Distribution,Hanover,100.0,1973.0,,413745.0,0.29,"24'0""",,35.0,200a/110-208v,,Yes,2025 Tax @ $0.0046/sf,,,0,2,Yes,Yes,120.0,39.7966431,-76.9952657,PA,PA.csv,191,T4-PA-00191,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"348-350 Poplar St, Hanover, PA",False,42133,York,PA,38,25340.211478760248,PA
2 Preble Ave,,C,Existing,347227,,$7.24 - 8.85 (Est.),Warehouse,Pittsburgh,100.0,,,124948.0,,,,,,,,2024 Tax @ $0.0114/sf,,,0,,,,14.0,40.457069,-80.033703,PA,PA.csv,192,T4-PA-00192,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2 Preble Ave, Pittsburgh, PA",False,42003,Allegheny,PA,45,51329.19942869223,PA
401 Quality Cir,Building 3,B,Existing,324000,,$7.55 - 9.22 (Est.),Distribution,Harrisburg,100.0,2001.0,,324000.0,,"30'0""",50'w x 50'd,44.0,2000a 3p 3w,,City,2025 Tax @ $0.9729/sf,,,0,2,ESFR,City,,40.3533269,-76.7356801,PA,PA.csv,193,T4-PA-00193,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Building 3,False,42043,Dauphin,PA,38,16775.52487880304,PA
7900 N Radcliffe St,Old Main St Tullytown,C,Existing,469268,,$5.13 - 6.27 (Est.),Warehouse,Bristol,100.0,1933.0,1981.0,200000.0,0.25,"30'0""",,26.0,400-800a 3p,Conrail,City,2024 Tax @ $0.1868/sf,,,0,"7/10'0""w x 16'0""h",Dry,City,100.0,40.131222,-74.820696,PA,PA.csv,194,T4-PA-00194,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Old Main St Tullytown,False,42017,Bucks,PA,32,22096.968197616283,PA
465 Railroad Ave,,B,Existing,397042,397042.0,$6.88 - 8.41 (Est.),Warehouse,Camp Hill,0.0,1953.0,,397042.0,0.98,"26'0""",,46.0,16000a/227-480v,,,2025 Tax @ $0.2922/sf,,397042.0,397042,,Wet,,390.0,40.225553,-76.9583247,PA,PA.csv,195,T4-PA-00195,existing,True,False,direct_existing_facility,397042.0,True,True,True,True,"465 Railroad Ave, Camp Hill, PA",True,42041,Cumberland,PA,38,14788.77316830933,PA
2170 N Reading Rd,,A,Existing,306000,,$7.34 - 8.97 (Est.),Warehouse,Denver,100.0,2024.0,,306000.0,,,,,,,,,,,0,,,,,40.2255357,-76.0947337,PA,PA.csv,196,T4-PA-00196,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2170 N Reading Rd, Denver, PA",False,42071,Lancaster,PA,30,34402.025273802414,PA
2222 N Reading Rd,,A,Existing,325500,,$7.34 - 8.97 (Est.),Warehouse,Denver,100.0,2024.0,,325500.0,0.49,"36'0""",50'w x 54'd,22.0,Heavy,,City,,,,0,2,ESFR,City,159.0,40.225431,-76.0937769,PA,PA.csv,197,T4-PA-00197,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2222 N Reading Rd, Denver, PA",False,42071,Lancaster,PA,30,34402.025273802414,PA
2800 Red Lion Rd,,B,Existing,386320,,$9.09 - 11.11 (Est.),Warehouse,Philadelphia,100.0,2004.0,,386320.0,0.77,,,23.0,,,,2024 Tax @ $0.7059/sf,,,0,"4/10'0""w x 14'0""h",,,300.0,40.0874144,-75.0118635,PA,PA.csv,198,T4-PA-00198,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2800 Red Lion Rd, Philadelphia, PA",False,42101,Philadelphia,PA,36,39685.20452044529,PA
600 Research Dr,,A,Existing,494000,,$6.81 - 8.33 (Est.),Distribution,Pittston,100.0,2022.0,,494000.0,0.76,,,,,,,2025 Tax @ $1.2101/sf,,,0,,,,376.0,41.3070266,-75.741561,PA,PA.csv,199,T4-PA-00199,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"600 Research Dr, Pittston, PA",False,42079,Luzerne,PA,49,18314.37102289535,PA
322 Revco Rd,,B,Existing,368594,,$8.19 - 10.01 (Est.),Distribution,Somerset,100.0,1999.0,,368594.0,0.63,"24'0""",,39.0,400-1600a/277-480v,,,2025 Tax @ $0.3964/sf,,,0,2,Wet,Yes,234.0,40.0268796,-79.0839677,PA,PA.csv,200,T4-PA-00200,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"322 Revco Rd, Somerset, PA",False,42111,Somerset,PA,19,3675.7286116826313,PA
305 Richardson Rd,,B,Existing,380875,,$10.28 - 12.57 (Est.),Warehouse,Lansdale,100.0,1958.0,,380875.0,,,,,,,,2024 Tax @ $0.4671/sf,,,0,,,,,40.2697527,-75.2443549,PA,PA.csv,201,T4-PA-00201,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"305 Richardson Rd, Lansdale, PA",False,42091,Montgomery,PA,27,34544.91214171688,PA
5000 Richmond St,Building 1,A,Existing,411000,286782.0,$6.94 - 8.48 (Est.),Distribution,Philadelphia,30.22,2025.0,,411000.0,0.3,"40'0""",50'w x 56'd,70.0,1500a/277v 3p,,,,,286782.0,411000,2,,,125.0,40.0046183,-75.0651856,PA,PA.csv,202,T4-PA-00202,existing,True,False,direct_existing_facility,411000.0,True,True,True,True,Building 1,True,42101,Philadelphia,PA,36,39685.20452044529,PA
3455 Ritner Hwy,,A,Existing,391720,,$9.39 - 11.47 (Est.),Warehouse,Newville,100.0,2022.0,,391720.0,0.61,,,44.0,,,,,,,0,Yes,,,239.0,40.1340484,-77.3787454,PA,PA.csv,203,T4-PA-00203,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"3455 Ritner Hwy, Newville, PA",False,42041,Cumberland,PA,38,14788.77316830933,PA
601 River Rd,,A,Existing,310900,,$11.35 - 13.88 (Est.),Warehouse,Bridgeport,100.0,2016.0,,310900.0,3.3,"32'0""",,76.0,,,,2024 Tax @ $2.1850/sf,,,0,4,,,1023.0,40.0905531,-75.3309147,PA,PA.csv,204,T4-PA-00204,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"601 River Rd, Bridgeport, PA",False,42091,Montgomery,PA,27,34544.91214171688,PA
900 River Rd,,A,Existing,331525,,$10.81 - 13.22 (Est.),Distribution,Conshohocken,100.0,2022.0,,331525.0,1.4,"36'0""",50'w x 53'd,33.0,3000a/277-480v 3p,,,2024 Tax @ $1.0737/sf,,,0,"4/12'0""w x 16'0""h",ESFR,,463.0,40.084204,-75.3237691,PA,PA.csv,205,T4-PA-00205,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"900 River Rd, Conshohocken, PA",False,42091,Montgomery,PA,27,34544.91214171688,PA
15000 Roosevelt Blvd,Building 2,A,Existing,338208,338208.0,$11.30 - 13.81 (Est.),Distribution,Philadelphia,0.0,2025.0,,338208.0,0.68,"36'0""",54'w x 50'd,46.0,3000-4000a/277-480v 3p 4w,,,,,338208.0,338208,"2/12'0""w x 14'0""h",ESFR,Yes,230.0,40.1180357,-74.9851848,PA,PA.csv,206,T4-PA-00206,existing,True,False,direct_existing_facility,338208.0,True,True,True,True,Building 2,True,42101,Philadelphia,PA,36,39685.20452044529,PA
900 Rosedale Ave,,A,Existing,418608,418608.0,$7.04 - 8.60 (Est.),Distribution,Middletown,0.0,2024.0,,418608.0,0.63,"36'0""",,196.0,3000a,,,,,418608.0,418608,"3/12'0""w x 14'0""h",ESFR,,364.0,40.2041318,-76.7609612,PA,PA.csv,207,T4-PA-00207,existing,True,False,direct_existing_facility,418608.0,True,True,True,True,"900 Rosedale Ave, Middletown, PA",True,42043,Dauphin,PA,38,16775.52487880304,PA
600 Roundhouse Rd,Greater Lewistown Corporate Center,B,Existing,322309,,$2.32 - 2.84 (Est.),Warehouse,Lewistown,100.0,1970.0,2001.0,322309.0,1.24,"24'0""",25'w x 40-70'd,19.0,277-480a 3p,Juanita Valley Railroad,City,2025 Tax @ $0.2222/sf,,,0,19,Wet,City,400.0,40.5890003,-77.5883988,PA,PA.csv,208,T4-PA-00208,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Greater Lewistown Corporate Center,False,42087,Mifflin,PA,19,3446.7217627011905,PA
33 Runway Rd,BB-22,C,Existing,384000,,$9.63 - 11.77 (Est.),Warehouse,Levittown,100.0,2001.0,,384000.0,1.04,"32'0""",50'w x 50'd,52.0,800a,,City,2024 Tax @ $0.9412/sf,,,0,"1/12'0""w x 14'0""h",ESFR,City,228.0,40.1279706,-74.8455707,PA,PA.csv,209,T4-PA-00209,existing,True,False,direct_existing_facility,0.0,False,False,True,True,BB-22,False,42017,Bucks,PA,32,22096.968197616283,PA
42 Runway Rd,,A,Existing,300000,,$9.36 - 11.44 (Est.),Warehouse,Levittown,100.0,1995.0,,300000.0,0.41,"28'0""",40'w x 40'd,124.0,1600a/277-480v 3p 4w,,City,2024 Tax @ $0.9918/sf,,,0,"1/12'0""w x 14'0""h",ESFR,City,124.0,40.1317979,-74.8484472,PA,PA.csv,210,T4-PA-00210,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"42 Runway Rd, Levittown, PA",False,42017,Bucks,PA,32,22096.968197616283,PA
1 Saville Ave,,C,Existing,500000,,$9.57 - 11.69 (Est.),Distribution,Eddystone,100.0,,,500000.0,,,,60.0,,,,,,,0,"10/8'0""w x 12'0""h",,,50.0,39.853992,-75.338626,PA,PA.csv,212,T4-PA-00212,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1 Saville Ave, Eddystone, PA",False,42045,Delaware,PA,27,17105.650988155794,PA
