property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
4050 Integrity Dr,,C,Existing,396650,,$4.84 - 5.92 (Est.),Warehouse,Roanoke,100.0,2004.0,,242860.0,0.12,,,20.0,,,,2024 Tax @ $0.5016/sf,,,0,,,,50.0,37.3088498,-79.8788778,VA,VA.csv,122,T4-VA-00122,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"4050 Integrity Dr, Roanoke, VA",False,51161,Roanoke,VA,14,5110.816452607021,VA
2525 International Pky,STIHL Finished Goods Warehouse,B,Existing,299997,,$9.70 - 11.85 (Est.),Distribution,Virginia Beach,100.0,2002.0,,299997.0,0.17,,,10.0,,,,2024 Tax @ $0.5778/sf,,,0,,,,50.0,36.809245,-76.059196,VA,VA.csv,123,T4-VA-00123,existing,True,False,direct_existing_facility,0.0,False,False,True,True,STIHL Finished Goods Warehouse,False,51810,Virginia Beach,VA,4,14977.726377898349,VA
750 Interstate View Dr,Main Campus - Red Stripe,A,Existing,216000,,$7.82 - 9.56 (Est.),Warehouse,Harrisonburg,100.0,2000.0,,216000.0,0.53,"30'0""",,34.0,,,,2025 Tax @ $0.3403/sf,,,0,,,,115.0,38.3902596,-78.9065987,VA,VA.csv,124,T4-VA-00124,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Main Campus - Red Stripe,False,51165,Rockingham,VA,18,7479.526147199167,VA
3000 John Deere Rd,,A,Existing,307184,,$5.64 - 6.90 (Est.),Distribution,Toano,100.0,2000.0,,307184.0,0.78,"23'10""",40'w x 40'd,44.0,3p 4w,,City,2025 Tax @ $0.4012/sf,,,0,3,Wet,City,220.0,37.4132956,-76.8110027,VA,VA.csv,125,T4-VA-00125,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"3000 John Deere Rd, Toano, VA",False,51095,James City,VA,48,3538.978274706464,VA
11060 Johnson Rd,North Richmond Industrial Park - Phase 1,A,Existing,202500,,$8.42 - 10.29 (Est.),Warehouse,Ashland,100.0,2022.0,,202500.0,,"32'0""",,46.0,2000a,,,2025 Tax @ $0.2625/sf,,,0,2,ESFR,,,37.7274159,-77.4743777,VA,VA.csv,126,T4-VA-00126,existing,True,False,direct_existing_facility,0.0,False,False,True,True,North Richmond Industrial Park - Phase 1,False,51085,Hanover,VA,47,7520.099129211037,VA
1501 Joseph Martin Hwy,,C,Existing,250000,250000.0,$3.99 (Est.),Distribution,Martinsville,0.0,1983.0,2021.0,250000.0,,"19'0""",25'w x 30'd,20.0,3p,,,2024 Tax @ $0.0774/sf,,250000.0,250000,,,,,36.6308237,-79.8780283,VA,VA.csv,127,T4-VA-00127,existing,True,False,direct_existing_facility,250000.0,True,True,True,True,"1501 Joseph Martin Hwy, Martinsville, VA",True,51089,Henry,VA,47,3350.5042383984637,VA
1507 Joseph Martin Hwy,,B,Existing,350000,,$3.46 - 4.23 (Est.),Distribution,Martinsville,100.0,1985.0,2021.0,350000.0,0.14,"19'6""",25'w x 30'd,20.0,3p,,,2024 Tax @ $0.0779/sf,,,0,,,,48.0,36.6281922,-79.8775117,VA,VA.csv,128,T4-VA-00128,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1507 Joseph Martin Hwy, Martinsville, VA",False,51089,Henry,VA,47,3350.5042383984637,VA
3379 Joseph Martin Hwy,Bowles Properties DC2,C,Existing,380059,,$8.19 - 10.01 (Est.),Distribution,Martinsville,100.0,1985.0,,380059.0,1.31,"36'0""",36'w,26.0,1800a/277-480v 3p 4w,,County,2024 Tax @ $0.0784/sf,,,0,"1/12'0""w x 14'0""h",ESFR,County,589.0,36.6039344,-79.8808199,VA,VA.csv,129,T4-VA-00129,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Bowles Properties DC2,False,51089,Henry,VA,47,3350.5042383984637,VA
167 Kelley Dr,Kelley Dr Facility,A,Existing,284695,,$13.28 - 16.24 (Est.),Distribution,Front Royal,100.0,1995.0,,279600.0,0.76,"30'0""",50'w x 50'd,19.0,3000a/277-480v,Norfolk Southern,Yes,2024 Tax @ $0.5022/sf,,,0,2,,Yes,216.0,38.9736543,-78.1748032,VA,VA.csv,130,T4-VA-00130,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Kelley Dr Facility,False,51187,Warren,VA,11,1388.9356942004197,VA
660 Kentuck Rd,,B,Existing,359891,,$8.19 - 10.01 (Est.),Warehouse,Danville,100.0,1987.0,,359891.0,,"28'0""",,6.0,277-480v 3p,,Yes,2025 Tax @ $0.0645/sf,,,0,1,Dry,Yes,,36.5968867,-79.3386456,VA,VA.csv,131,T4-VA-00131,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"660 Kentuck Rd, Danville, VA",False,51590,Danville,VA,47,4091.7677838861473,VA
