Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
5 Industrial Rd,,C,Existing,245817,,$7.35 - 8.99 (Est.),Warehouse,Cumberland,100.00,1960,,245817,,"30'0""",,8,1600a/460v,,,2025 Tax @ $0.8692/sf,,,0,1,Yes,,158,41.9520791,-71.3994629
1200-1202 Jefferson Blvd,,C,Existing,153000,,$9.94 - 12.15 (Est.),Warehouse,Warwick,100.00,1971,,153000,,"19'0""",,6,,,,2025 Tax @ $0.5478/sf,,,0,,,,65,41.7160110,-71.4467930
6 Jefferson Dr,,B,Existing,110000,,$8.90 - 10.87 (Est.),Warehouse,Coventry,100.00,1984,,55000,10.00,"23'4""",,3,2000a/277-480v 3p,,City,2025 Tax @ $0.6788/sf,,,0,"1/18'0""w x 12'0""h",Wet,City,85,41.6790150,-71.5741430
1 Job Lot Way,,A,Existing,205987,,$8.15 - 9.81 (Est.),Warehouse,North Kingstown,100.00,2005,,108414,1.89,,,160,,,,,,,0,,Wet,,390,41.6039577,-71.4351815
1 John C Dean Memorial Blvd,,C,Existing,217800,,$7.67 - 9.37 (Est.),Warehouse,Cumberland,100.00,2014,,213463,0.38,,,23,,,,2025 Tax @ $0.1729/sf,,,0,"3/12'0""w x 14'0""h",Wet,,72,41.9309558,-71.4293428
1 Kenney Dr,,B,Existing,143996,,$9.90 - 12.11 (Est.),Warehouse,Cranston,100.00,1979,,71998,1.28,"10'0""",,4,,,,2025 Tax @ $1.3350/sf,,,0,,Wet,,185,41.7428640,-71.4562940
1070-1080 Kingstown Rd,Building 3,C,Existing,110037,,$10.75 - 13.14 (Est.),Warehouse,South Kingstown,100.00,1850,,5107,0.21,,,4,,,,2025 Tax @ $0.1714/sf,,,0,"1/10'0""w x 10'0""h",,,24,41.4511620,-71.4963290
204 Kinsley Ave,,B,Existing,169052,136000,$8.57 - 10.48 (Est.),Warehouse,Providence,19.55,1989,,136000,0.95,"22'0""",,8,Heavy,CSX,,,,136000,136000,"1/14'0""w x 14'0""h",,,160,41.8282302,-71.4242844
350 Kinsley Ave,,C,Existing,378890,,$10.47 - 12.79 (Est.),Warehouse,Providence,100.00,1865,,126297,0.26,,,5,Heavy,,,,,,0,"2/10'0""w x 10'0""h",Wet,,100,41.8277934,-71.4293620
15 Main St,,C,Existing,180000,,$9.49 - 11.59 (Est.),Warehouse,Scituate,100.00,1870,,71867,,,,,,,,2025 Tax @ $0.0862/sf,,,0,,,,,41.7306572,-71.5618836
1847 W Main Rd,Raytheon,C,Existing,113000,,$10.09 - 12.33 (Est.),Warehouse,Portsmouth,100.00,1982,,95323,0.49,,,,,,,2025 Tax @ $1.1668/sf,,,0,"2/10'0""w x 10'0""h",,,56,41.5687803,-71.2800510
35 Martin St,,B,Existing,267498,,$5.90 - 7.21 (Est.),Warehouse,Cumberland,100.00,2000,,182198,0.86,"20'0""",40'w x 30'd,15,3000a/480v,,,2025 Tax @ $0.3651/sf,,,0,None,Wet,,200,41.9295768,-71.4264135
108 Mason St,,C,Existing,114686,,$8.20 - 10.02 (Est.),Distribution,Woonsocket,100.00,1900,,89400,,"18'0""",,9,,,,,,,0,None,Wet,,30,41.9962506,-71.5260859
