Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
1500 Johnson Way,,A,Existing,246884,,$9.01 - 11.01 (Est.),Warehouse,New Castle,100.00,2002,,246884,0.20,"32'0""",40'w x 40'd,14,,Norfolk Southern,City,2024 Tax @ $0.6786/sf,,,0,"2/8'0""w x 10'0""h",Wet,City,50,39.6594410,-75.5873220
922 Levels Rd,Breakthru Beverage,A,Existing,282500,,$9.85 - 12.03 (Est.),Distribution,Middletown,100.00,2021,,282500,1.20,"36'0""",,32,,,,,,,0,,,,340,39.4352787,-75.7415250
400 Lukens Dr,,B,Existing,485987,,$9.79 - 11.97 (Est.),Warehouse,New Castle,100.00,2002,,485987,,"22'0""",,8,Heavy,,,2024 Tax @ $0.5484/sf,,,0,None,,,,39.6756442,-75.5495470
300 McIntire Dr,,B,Existing,208656,,$9.85 - 12.03 (Est.),Warehouse,Newark,100.00,1999,,208656,0.79,,,,,,,2024 Tax @ $0.2150/sf,,,0,,Wet,,164,39.6529869,-75.7855593
1565 McKee Rd,,C,Existing,210000,,$9.22 - 11.27 (Est.),Warehouse,Dover,100.00,1997,,210000,0.35,"26'6""",40'w x 25'd,,,,City,2025 Tax @ $0.2579/sf,,,0,"1/10'0""w x 16'0""h",Wet,City,75,39.1877746,-75.5628591
9599 Nanticoke Business Park Dr,Nanticoke Business Park,B,Existing,232500,,$4.55 - 5.57 (Est.),Warehouse,Greenwood,100.00,1979,2007,232500,,"18'0""",28'w x 28'd,4,,,,2025 Tax @ $0.1818/sf,,,0,,,,,38.8235197,-75.5872009
1601 Ogletown Rd,,B,Existing,211678,,$9.85 - 12.03 (Est.),Warehouse,Newark,100.00,1959,1983,211678,1.00,"26'0""",40'w x 25'd,27,,Conrail,City,2024 Tax @ $0.8412/sf,,,0,"1/10'0""w x 12'0""h",Wet,City,74,39.6827260,-75.7212970
1800 Ogletown Rd,,A,Existing,259200,,$8.05 - 9.83 (Est.),Distribution,Newark,100.00,1976,1990,232403,0.42,"32'0""",65'w x 25'd,37,400-600a/277-480v,CSX,City,2024 Tax @ $0.8529/sf,,,0,3,Wet,City,32,39.6861700,-75.7192520
2001 Old Coochs Bridge Rd,First State Logistics Park,A,Existing,385000,,$9.85 - 12.03 (Est.),Warehouse,Newark,100.00,2023,,385000,0.69,"40'0""",54'w x 48'd,74,,,,2024 Tax @ $0.9928/sf,,,0,2,ESFR,,265,39.6239729,-75.7354065
50 Patriot Dr,,B,Existing,389626,,$9.85 - 12.03 (Est.),Distribution,Middletown,100.00,2011,,389626,,,,,,,,2024 Tax @ $0.0663/sf,,,0,,,,,39.4377397,-75.7424653
29984 Pinnacle Way,,B,Existing,460000,,$7.11 - 8.69 (Est.),Distribution,Millsboro,100.00,1972,1989,439621,0.61,"24'0""",40'w x 50'd,15,2000a/277-480v,,City,2025 Tax @ $0.0344/sf,,,0,"4/12'0""w x 14'0""h",ESFR,City,270,38.5777851,-75.2695816
415 Rogers Rd,,C,Existing,287496,,$9.85 - 12.03 (Est.),Warehouse,Wilmington,100.00,1967,,287496,0.07,,,,,,,,,,0,None,,,20,39.7143360,-75.5498070
322 Ruthar Dr,,A,Existing,385000,,$9.07 - 11.09 (Est.),Warehouse,Newark,100.00,1998,,385000,1.96,"24'0""",40'w x 40'd,10,2000a 3p,,,2024 Tax @ $0.2770/sf,,,0,1,Wet,,236,39.6878410,-75.7000690
794 School House Rd,Snow Joe,A,Existing,257294,,$7.98 - 9.75 (Est.),Distribution,New Castle,100.00,2021,,257294,,"40'0""",52'w x 54'd,30,2400a,,,2024 Tax @ $0.6307/sf,,,0,2,ESFR,,,39.5893554,-75.6465267
200 Sears Blvd,,C,Existing,251912,,$9.85 - 12.03 (Est.),Warehouse,Wilmington,100.00,1962,1975,251912,0.96,"31'0""",24-30'w x 24-36'd,36,800-1200a/480v 3p,,Yes,2024 Tax @ $1.0499/sf,,,0,None,Wet,Yes,342,39.7101310,-75.6256040
400 Ships Landing Way,E-Comm Center,C,Existing,235000,,$4.48 - 5.48 (Est.),Distribution,Historic New Castle,100.00,1970,1996,235000,0.15,"30'0""",,20,800a/480v,,City,2024 Tax @ $0.6095/sf,,,0,"1/8'0""w x 10'0""h",ESFR,City,35,39.6680442,-75.5541400
800-890 Ships Landing Way,Twin Spans 2,B,Existing,226200,,$10.61 - 12.97 (Est.),Distribution,Historic New Castle,100.00,2002,,226200,0.54,"31'0""",30'w x 60'd,16,,,County,2024 Tax @ $0.6188/sf,,,0,1,,County,121,39.6716403,-75.5558888
5 Wrangle Hill Rd,,B,Existing,461309,,$9.85 - 12.03 (Est.),Warehouse,New Castle,100.00,1991,,230655,,,,,,,,2024 Tax @ $1.6324/sf,,,0,,,,,39.5810503,-75.6311297
1340 W North St,,C,Existing,457967,,$6.34 - 7.75 (Est.),Warehouse,Dover,100.00,1972,,457967,,,,,,,,2025 Tax @ $0.3322/sf,,,0,,,,,39.1493970,-75.5503773
