Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
16301 Elliott Pky,,B,Existing,277897,,$7.59 - 9.28 (Est.),Warehouse,Williamsport,100.00,1994,,244750,,,,,,,,2024 Tax @ $0.5694/sf,,,0,,,,,39.6190950,-77.8038710
7603 Energy Pky,Brandon Woods I,B,Existing,274152,,$9.78 - 11.96 (Est.),Warehouse,Curtis Bay,100.00,1995,,274152,1.00,"32'0""",35'w x 52'd,30,,,City,2024 Tax @ $0.7180/sf,,,0,"2/10'0""w x 12'0""h",Wet,City,100,39.1750309,-76.5499517
7621 Energy Pky,7621 Energy Parkway,A,Existing,222636,,$9.72 - 11.88 (Est.),Distribution,Curtis Bay,100.00,1997,,222636,0.67,"30'0""",36'w x 40'd,28,,,,2024 Tax @ $0.5957/sf,,,0,"1/10'0""w x 12'0""h",ESFR,,150,39.1760075,-76.5423145
4311 Erdman Ave,,B,Existing,343600,,$5.95 - 7.27 (Est.),Warehouse,Baltimore,100.00,1920,1963,343600,0.05,"16'0""",25'w x 25'd,8,,CSX,City,2024 Tax @ $0.1958/sf,,,0,"4/10'0""w x 12'0""h",Wet,City,20,39.3104754,-76.5657506
1805 Fashion Ct,,B,Existing,258710,,$10.81 - 13.21 (Est.),Warehouse,Joppa,100.00,1994,,258710,1.00,"40'0""",37'w x 50'd,25,2000a/480v 3p,,,2025 Tax @ $0.4945/sf,,,0,"1/12'0""w x 14'0""h",Wet,,100,39.4426760,-76.3224460
10417 Fergusson Ln,Londontown,B,Existing,209788,,$7.12 - 8.70 (Est.),Warehouse,Williamsport,100.00,2004,,209788,,"23'4""",38'w,9,200a/277-480v,,City,2024 Tax @ $0.5117/sf,,,0,"3/14'0""w x 16'0""h",ESFR,City,256,39.5985142,-77.7965715
10001 Franklin Square Dr,Franklin Square IC I,A,Existing,217600,63871,$10.45 - 12.77 (Est.),Warehouse,Baltimore,87.50,1997,,217600,0.92,"28'0""",40'w x 46'd,13,277-480v,,City,2024 Tax @ $0.8168/sf,,63871,27200,"3/10'0""w x 12'0""h",ESFR,City,200,39.3671233,-76.4575069
800 N Frederick Ave,FedEx,A,Existing,330000,,$11.56 - 14.12 (Est.),Distribution,Gaithersburg,100.00,2017,,330000,,,,71,,,,2024 Tax @ $2.6328/sf,,,0,,,,,39.1544980,-77.2192793
102 Fulfillment Dr,,A,Existing,210000,,$10.47 - 12.79 (Est.),Warehouse,Edgewood,100.00,2020,,210000,1.21,"32'0""",52'w x 55'd,18,2000a 3p,,County,,,,0,10,ESFR,County,169,39.4083362,-76.3148654
28712 Glebe Rd,,C,Existing,224735,,$8.19 - 10.01 (Est.),Warehouse,Easton,100.00,1974,,224735,,"24'0""",,21,,,,,,,0,,,,,38.7903836,-76.0765668
