Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
405 Sterling St,Bldg 2,A,Existing,360781,,$5.50 - 6.72 (Est.),Warehouse,Camp Hill,100.00,1985,,180000,,"30'0""",40'w x 40'd,27,3p,Norfolk Southern,City,2025 Tax @ $0.3941/sf,,,0,1,Wet,City,,40.2302389,-76.9423079
2712-36 Stokley St,Budd Bioworks | Stokley Alley,C,Existing,360000,,$9.97 - 12.18 (Est.),Warehouse,Philadelphia,100.00,1930,,90000,,"15'0""",,1,,Conrail,,2024 Tax @ $0.0137/sf,,,0,2,,,,40.0091241,-75.1702718
700 W Tabor Rd,Tabor Road Warehouse,C,Existing,300000,,$4.38 - 5.35 (Est.),Warehouse,Philadelphia,100.00,1950,,75000,0.00,"10'0""",,2,Heavy,,City,2024 Tax @ $0.1222/sf,,,0,3,Dry,City,,40.0344157,-75.1337940
150 Thorn Hill Rd,,A,Existing,432203,,$6.61 - 8.08 (Est.),Warehouse,Warrendale,100.00,1978,,432203,1.03,"40'0""",32'w x 40'd,32,4000a,,Yes,2024 Tax @ $1.0782/sf,,,432203,6,ESFR,Yes,480,40.6673003,-80.1058931
174 Tomlinson Dr,FedEx Distribution,A,Existing,305000,,$6.81 - 8.32 (Est.),Distribution,Zelienople,100.00,2015,,305000,0.98,,,90,,,,,,,0,"6/14'0""w x 18'0""h",ESFR,,300,40.7585158,-80.1053574
300 Tomlinson Dr,,B,Existing,300000,,$5.62 - 6.87 (Est.),Distribution,Zelienople,100.00,2016,,300000,,,,,,,,,,,0,,,,,40.7588085,-80.1057942
14700 Townsend Rd,,B,Existing,300700,,$9.09 - 11.11 (Est.),Warehouse,Philadelphia,100.00,1994,2011,300700,0.33,,,,,,,,,,0,"7/8'0""w x 10'0""h",,,90,40.1147571,-74.9684711
111 Tradeport Rd,Building 3,A,Existing,306250,,$5.77 - 7.05 (Est.),Warehouse,Hanover Township,100.00,2022,,306250,1.00,"36'0""",50'w x 52'd,55,3000a/480v 3p,,Yes,2025 Tax @ $1.1610/sf,,,0,"2/12'0""w x 14'0""h",ESFR,Yes,305,41.2007388,-75.9808729
172 Transport St,Smith Transport,C,Existing,301000,,$7.31 - 8.93 (Est.),Warehouse,Bedford,100.00,1998,,301000,0.30,"28'0""",40'w x 45'd,32,1600a/277v 3p,,Yes,2025 Tax @ $0.5446/sf,,,0,"2/16'0""w x 16'0""h",ESFR,Yes,133,40.0627334,-78.5080254
171-173 Tuckerton Rd,,B,Existing,398232,,$5.58 - 6.83 (Est.),Distribution,Muhlenberg Township,100.00,1966,1998,398232,0.20,"18'0""",41'w x 30'd,5,,,,2025 Tax @ $0.2977/sf,,,0,1,ESFR,,79,40.4061837,-75.9433341
