Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
77 Logistics Ln,,C,Existing,132640,,$3.89 - 4.75 (Est.),Distribution,Hermon,100.00,1989,,66320,,"35'0""",,,,,,2024 Tax @ $0.6166/sf,,,0,,Dry,,,44.7840596,-68.8645697
54 Milliken St,,A,Existing,206165,,$6.72 - 8.22 (Est.),Warehouse,Portland,100.00,2013,,206165,1.07,"32'0""",,13,600a/480v,,City,,,,0,1,Wet,City,220,43.7067938,-70.3044875
8 Morin St,,B,Existing,124315,,$5.80 - 7.09 (Est.),Warehouse,Biddeford,100.00,1974,,124315,1.21,"32'0""",,3,3000a 3p,,,2025 Tax @ $0.5261/sf,,,0,"2/11'0""w x 10'0""h",Wet,,150,43.4699830,-70.4923540
11 Morin St,,C,Existing,139607,,$7.46 - 9.12 (Est.),Warehouse,Biddeford,100.00,1976,,128585,,,,4,,,,2025 Tax @ $0.9109/sf,,,0,None,,,30,43.4677919,-70.4909485
234 Northeast Rd,,B,Existing,124483,,$8.64 - 10.56 (Est.),Distribution,Standish,100.00,1967,,124483,2.83,"25'0""",,4,3800a/480v 3p,,City,2024 Tax @ $0.2708/sf,,,0,1,Wet,City,352,43.7486100,-70.5396350
485 Old Belgrade Rd,,B,Existing,151554,,$7.70 - 9.41 (Est.),Distribution,Augusta,100.00,1978,,151554,0.70,,,16,,,,2025 Tax @ $0.6515/sf,,,0,"2/8'0""w x 10'0""h",,,100,44.3703045,-69.7893264
74 Orion St,,B,Existing,123000,,$9.65 - 11.79 (Est.),Warehouse,Brunswick,100.00,1953,,123000,,"15'0""",,,,,,,,,0,1,,,,43.8932048,-69.9316785
22 Pioneer Ave,,C,Existing,153875,,$9.04 - 11.05 (Est.),Warehouse,Sanford,100.00,1923,,153875,0.19,,,,,,,2025 Tax @ $0.0895/sf,,,0,"1/6'0""w x 9'0""h",,,30,43.4394721,-70.7709748
152 Portland Rd,,C,Existing,122228,,$9.65 - 11.79 (Est.),Warehouse,Bridgton,100.00,1986,,115053,0.00,"20'0""",,5,1500a/480v 3p,,,2025 Tax @ $0.3508/sf,,,0,"1/8'0""w x 10'0""h",Wet,,,44.0434660,-70.7001770
203 Read St,,B,Existing,167154,,$8.92 - 10.91 (Est.),Distribution,Portland,100.00,1980,,167154,1.20,"22'0""",41'w x 48'd,14,600a/480v,,City,2024 Tax @ $0.0528/sf,,,0,"8/22'0""w x 14'0""h",Wet,City,200,43.6838998,-70.2860029
13 River St,,B,Existing,299426,,$9.27 - 11.32 (Est.),Warehouse,Sanford,100.00,1900,,59885,,"15'0""",,8,3p,,,2025 Tax @ $0.0114/sf,,,0,None,Yes,,,43.4426570,-70.7730050
977 W River Rd,,A,Existing,228000,,$7.45 - 8.45 (Est.),Warehouse,Waterville,100.00,1971,,228000,1.52,"15'0""",,2,Heavy,,,2025 Tax @ $0.2050/sf,,,0,1,Yes,,346,44.5039610,-69.6827831
409 Roosevelt Trl,Hancock Lumber,B,Existing,314463,,$8.24 - 10.07 (Est.),Warehouse,Windham,100.00,,,314463,,,,5,,,,,,,0,"2/10'0""w x 12'0""h",,,40,43.8025070,-70.4039530
15 Saunders Way,Saunders Business Park,B,Existing,144142,,$8.39 - 10.25 (Est.),Warehouse,Westbrook,100.00,1955,2008,100218,0.00,"16'0""",25'w x 50'd,3,800a/480v 3p,,,,,,0,Yes,Wet,,,43.6762010,-70.3430720
48 Spiller Dr,,B,Existing,134000,,$8.13 - 9.94 (Est.),Warehouse,Westbrook,100.00,2006,2015,134000,1.75,,,2,,,,,,,0,"1/8'0""w x 10'0""h",Wet,,100,43.6576028,-70.3805651
225 Spring St,,C,Existing,140000,,$7.88 - 9.63 (Est.),Warehouse,Dexter,100.00,1850,,140000,,"24'0""",,1,,,,2024 Tax @ $0.0420/sf,,,0,"1/8'0""w x 10'0""h",,,,45.0123010,-69.2884890
65 Spring Hill Rd,Huttig Building Products,B,Existing,131400,,$7.46 - 9.12 (Est.),Warehouse,Saco,100.00,2001,2018,131400,0.91,,,12,,,,2024 Tax @ $0.8272/sf,,,0,"2/7'0""w x 9'0""h",,,83,43.5370113,-70.4363809
693 Stillwater Ave,,C,Existing,115000,,$7.32 - 8.94 (Est.),Distribution,Bangor,100.00,1980,,115000,3.83,,,5,,,,,,,0,2,,,440,44.8310108,-68.7469151
44 Thomas Dr,,B,Existing,109745,,$8.13 - 9.94 (Est.),Warehouse,Westbrook,100.00,1996,,109745,0.27,,,36,,,,,,,0,None,,,30,43.6498221,-70.3467130
1 Wallace Ave,,C,Existing,114100,,$8.08 - 9.87 (Est.),Distribution,South Portland,100.00,1965,,114100,1.42,"36'0""",,3,,,,2024 Tax @ $0.0737/sf,,,0,6,Yes,,142,43.6121550,-70.3038350
116 Wallace Ave,,B,Existing,145921,,$8.71 - 9.33 (Est.),Distribution,South Portland,100.00,1980,,145921,0.34,,,15,,,,2024 Tax @ $0.7416/sf,,,0,None,,,50,43.6144750,-70.3085948
765 Warren Ave,,A,Existing,160106,,$8.72 - 10.66 (Est.),Warehouse,Portland,100.00,1988,,160106,,"29'0""",43'w x 49'd,5,480a/277v,,,2024 Tax @ $1.0289/sf,,,0,2,Wet,City,,43.6876890,-70.3324609
6 Water St,,C,Existing,140000,,$5.75 - 7.03 (Est.),Warehouse,Waterville,100.00,1874,,17000,0.59,"12'6""",,1,,,,,,,0,"1/8'0""w x 10'0""h",None,,40,44.5468790,-69.6286160
80 Water St,,B,Existing,107640,,$7.88 - 9.63 (Est.),Warehouse,Dexter,100.00,1900,,35880,,,,,,,,2024 Tax @ $0.0664/sf,,,0,,,,,45.0151982,-69.2920079
3 Weaver Dr,,C,Existing,110000,,$9.42 - 11.52 (Est.),Warehouse,Sanford,100.00,1923,,27500,0.27,"17'0""",,4,480v 3p,,,2025 Tax @ $0.0471/sf,,,0,1,Yes,,30,43.4410183,-70.7729802
128 Weld Rd,,B,Existing,268600,,$3.93 - 4.80 (Est.),Warehouse,Wilton,,1970,,134300,0.86,"20'0""",35'w x 41'd,14,3p,,City,2025 Tax @ $0.1235/sf,,,268000,,Wet,City,230,44.5986125,-70.2384854
175 Allied Rd,,B,Existing,328222,,$8.00 - 9.78 (Est.),Warehouse,Auburn,100.00,1975,,328222,,,,,,,,2024 Tax @ $0.3561/sf,,,0,,,,,44.0341453,-70.2648162
70 Bennett St,,B,Existing,212193,,$5.46 - 6.67 (Est.),Warehouse,Bangor,100.00,1973,,212193,,,,,,,,2024 Tax @ $0.6699/sf,,,0,,,,,44.7883523,-68.8331336
2879 Hotel Rd,,C,Existing,304592,,$7.49 - 9.15 (Est.),Warehouse,Auburn,100.00,1994,,304592,,,,,,,,2024 Tax @ $3.5203/sf,,,0,,,,,44.0381231,-70.2839014
200 Main St,,C,Existing,103385,,$5.11 - 6.25 (Est.),Warehouse,Prospect Harbor,100.00,1910,,,,,,,,,,2024 Tax @ $0.1177/sf,,,0,,,,,44.3980756,-68.0201578
129 N Main St,,C,Existing,144000,,$4.94 - 6.04 (Est.),Warehouse,Pittsfield,100.00,,,,,,,,,,,2024 Tax @ $0.0092/sf,,,0,,,,,44.7848314,-69.3797781
1 Mill St,,B,Existing,274236,,$8.51 - 10.41 (Est.),Warehouse,Jay,100.00,,,274236,,,,,,,,,,,0,,,,,44.4791700,-70.1983682
70 Mount Hope Ave,,C,Existing,273038,,$5.68 - 6.79 (Est.),Distribution,Lewiston,100.00,1954,2018,136519,,,,,,,,2024 Tax @ $0.7885/sf,,,0,,,,,44.0710264,-70.2029872
