Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
3102 Blaine Blvd,,C,Existing,101565,,$7.80 - 9.53 (Est.),Warehouse,Charleston,100.00,,,101565,0.49,,,,,,,2024 Tax @ $0.0333/sf,,,0,None,,,50,38.3741822,-81.6869470
100 Bluefield Ave,,B,Existing,102700,,$8.14 - 9.95 (Est.),Distribution,Bluefield,100.00,1989,,102700,0.58,"26'0""",23'w x 45'd,,,,,2025 Tax @ $0.5409/sf,,,0,,,,60,37.2683600,-81.2276490
1642 Bluefield Ave,The Freight Station,C,Existing,153601,,$7.96 - 9.73 (Est.),Warehouse,Bluefield,100.00,,,87273,,,,9,,,,,,,0,None,,,30,37.2618030,-81.2434570
3301 Camden Ave,,C,Existing,222150,,$10.69 - 13.06 (Est.),Warehouse,Parkersburg,100.00,1920,,222150,,,,16,,,,2025 Tax @ $0.0234/sf,,,0,None,,,30,39.2514750,-81.5360324
4301 Camden Ave,Peoples Cartage Building 4,C,Existing,136888,,$10.77 - 13.17 (Est.),Warehouse,Parkersburg,100.00,1920,,136888,,,,37,,,,2025 Tax @ $0.1228/sf,,,0,None,,,50,39.2393130,-81.5260000
4301 Camden Ave,Peoples Cartage Building 3,C,Existing,133798,,$10.77 - 13.17 (Est.),Warehouse,Parkersburg,100.00,1920,,133798,,,,,,,,2025 Tax @ $0.1228/sf,,,0,,,,,39.2384086,-81.5245169
4301 Camden Ave,Peoples Cartage Building 9B,C,Existing,101376,,$10.78 - 13.18 (Est.),Warehouse,Parkersburg,100.00,1920,,101376,,,,,,,,2025 Tax @ $0.1228/sf,,,0,,,,,39.2393854,-81.5202467
4301 Camden Ave,Peoples Cartage Building 8,C,Existing,101136,,$10.78 - 13.18 (Est.),Warehouse,Parkersburg,100.00,1920,,101136,,,,,,,,2025 Tax @ $0.1228/sf,,,0,,,,,39.2402261,-81.5207600
2900-2908 Charles Ave,Dunbar Storage 1 & 2,B,Existing,139935,,$5.48 - 6.69 (Est.),Distribution,Dunbar,100.00,1962,,139935,0.71,"22'0""",24'w x 48'd,18,3p,,City,,,,0,2,Dry,City,100,38.3695745,-81.7595299
1700 Charles St,,B,Existing,112679,,$5.96 - 7.28 (Est.),Warehouse,Wellsburg,100.00,,,56339,0.89,"36'0""",,5,480v 3p,Norfolk Southern,Yes,2025 Tax @ $0.0079/sf,,,0,None,,Yes,100,40.2805230,-80.6096351
