Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
2701 Bermuda Hundred Rd,,B,Existing,252000,252000,$8.29 - 10.14 (Est.),Warehouse,Chester,0.00,2015,,252000,0.00,"30'0""",50'w x 50'd,16,1600a 3p 4w,,,2025 Tax @ $0.7514/sf,,252000,252000,2,ESFR,,,37.3417739,-77.3036246
2800 Bermuda Hundred Rd,,A,Existing,252000,,$8.29 - 10.14 (Est.),Warehouse,Chester,100.00,2015,,252000,,"30'0""",50'w x 50'd,16,3p 4w,,,2025 Tax @ $0.7514/sf,,,0,2,Yes,,,37.3397948,-77.3068972
1900 Bessemer Rd,,B,Existing,218585,,$4.84 - 5.91 (Est.),Warehouse,Petersburg,100.00,2002,,218585,,,,,,,,,,,0,"4/24'0""w x 16'0""h",,,,37.1804989,-77.4124113
629 Bland Blvd,,C,Existing,347658,,$7.94 - 9.71 (Est.),Warehouse,Newport News,100.00,2019,,,,,,,,,,2026 Tax @ $0.1025/sf,,,0,,,,,37.1323680,-76.5097130
1751 Blue Hills Dr,Elizabeth Arden Logistics Center,B,Existing,399182,,$5.32 - 6.50 (Est.),Distribution,Roanoke,100.00,1991,,399182,0.25,"28'0""",37'w x 74'd,20,,,,,,,0,None,Yes,,100,37.3136941,-79.8961576
1700-1702 Blue Hills Dr NE,,C,Existing,291407,,$5.10 - 6.23 (Est.),Distribution,Roanoke,100.00,,,291407,,,,,,,,2026 Tax @ $0.4761/sf,,,0,"7/12'0""w x 15'0""h",,,75,37.3080921,-79.8961937
1711 Blue Hills Dr NE,,C,Existing,333572,,$5.32 - 6.50 (Est.),Distribution,Roanoke,100.00,1987,,333572,0.24,,,20,,,,2026 Tax @ $0.4814/sf,,,0,None,,,75,37.3110341,-79.8941835
188 Brooke Rd,Brooke Rd Facility,B,Existing,209739,,$7.10 - 8.68 (Est.),Warehouse,Winchester,100.00,1985,,209739,0.96,"21'0""",,7,Heavy,,,2025 Tax @ $0.3119/sf,,,50685,1,,,200,39.1986067,-78.1519117
660 Brooke Rd,Bender Warehouse.,A,Existing,202000,,$6.97 - 8.52 (Est.),Warehouse,Winchester,100.00,1996,,202000,,"32'0""",,20,,,,2024 Tax @ $0.1384/sf,,,0,2,,,,39.2010583,-78.1436148
1920 Campostella Rd,Diamond Hill II,B,Existing,224620,224620,$8.25 - 10.08 (Est.),Distribution,Chesapeake,100.00,1980,,224620,0.36,"27'0""",48'w x 50'd,19,800a/277-480v 3p,Norfolk Southern,Yes,2024 Tax @ $0.6924/sf,,224620,0,8,ESFR,Yes,80,36.7883120,-76.2658890
