trade_type,tons_2025,tons_2030,label,growth_pct
1,2894432.563867624,3157031.341033027,Internal (domestic),9.1
2,217705.33090682936,249241.45331758988,Import,14.5
3,195506.41980024896,219069.40117705934,Export,12.1
