flow_type,tons_2025,tons_2030,label,growth_pct
Internal,2624251.5336373677,2879814.655840297,Internal,9.7
Inbound,344773.83271590126,384859.82654792944,Inbound,11.6
Outbound,338618.9482214336,360667.7131394497,Outbound,6.5
