mode,tons_2025,tons_2030,label,growth_pct
11,2384432.1979971286,2680331.311232129,Truck+Air,12.4
6,505769.2534320686,508567.8923788385,Pipeline,0.6
2,201009.01090346935,209872.94350959212,Rail,4.4
5,125226.57140436927,139550.75809111667,Multiple/Mail,11.4
3,91207.28083766667,87019.290316,Water,-4.6
