node_name,state_name,node_type,interface_class,tons_2025,tons_2030
"Hampton Roads, VA",VA,seaport,global,20204.53515625,20404.755859375
"Philadelphia, PA",PA,seaport,global,20204.53515625,20404.755859375
WASHINGTON DULLES INTL,DIST. OF COLUMBIA,cargo_airport,global,26581.4822814097,30678.560272030412
BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL,MARYLAND,cargo_airport,global,15530.753692509035,17924.552069051475
GENERAL EDWARD LAWRENCE LOGAN INTL,MASSACHUSETTS,cargo_airport,global,19353.708447588186,22336.74950143338
NEWARK LIBERTY INTL,NEW JERSEY,cargo_airport,global,73352.94436308114,84659.03823382774
JOHN F KENNEDY INTL,NEW YORK,cargo_airport,global,236425.85813442603,272866.8349588683
PHILADELPHIA INTL,PENNSYLVANIA,cargo_airport,global,92049.5824621401,106237.44130157049
PITTSBURGH INTL,PENNSYLVANIA,cargo_airport,global,15948.889368845817,18407.136163218245
