node_name,state_name,node_type,interface_class,tons_2025,tons_2030
Buffalo Niagara Falls,New York,border_crossing,continental,30162118,30162118
Champlain Rouses Point,New York,border_crossing,continental,9776473,9776473
Alexandria Bay,New York,border_crossing,continental,6417140,6417140
Derby Line,Vermont,border_crossing,continental,3204800,3204800
Highgate Springs,Vermont,border_crossing,continental,3179169,3179169
Houlton,Maine,border_crossing,continental,2991741,2991741
Jackman,Maine,border_crossing,continental,2777799,2777799
Calais,Maine,border_crossing,continental,2738811,2738811
